Ticker               yfinance Ticker           Name
----------------------------------------------------------------------------------------------------
06N                  06N.WA                    Magna Polonia S.A.
08N                  08N.WA                    NFI Octava S.A.
11B                  11B.WA                    11 bit studios S.A.
1AT                  1AT.WA                    Atal S.A.
3RG                  3RG.WA                    3R Games S.A.
4MS                  4MS.WA                    4MASS
AAT                  AAT.WA                    Alta S.A.
ABE                  ABE.WA                    AB S.A.
ABS                  ABS.WA                    Asseco Business Solutions S.A.
ACG                  ACG.WA                    AC Spólka Akcyjna
ACP                  ACP.WA                    Asseco Poland S.A.
ACT                  ACT.WA                    Action S.A.
ADV                  ADV.WA                    Adiuvo Investments S.A.
AGO                  AGO.WA                    Agora S.A.
AGT                  AGT.WA                    Agroton Public Limited
ALE                  ALE.WA                    Allegro.eu S.A.
ALG                  ALG.WA                    All in! Games S.A.
ALI                  ALI.WA                    Altus S.A.
ALL                  ALL.WA                    Ailleron S.A.
ALR                  ALR.WA                    Alior Bank S.A.
AMB                  AMB.WA                    Ambra S.A.
AMC                  AMC.WA                    Amica S.A.
ANR                  ANR.WA                    Answear.com S.A.
APE                  APE.WA                    APS Energia SA
APL                  APL.WA                    LC Spólka Akcyjna
APN                  APN.WA                    Aplisens S.A.
APR                  APR.WA                    Auto Partner SA
APT                  APT.WA                    Apator S.A.
ARH                  ARH.WA                    Archicom S.A.
ARL                  ARL.WA                    Arlen S.A.
ART                  ART.WA                    Artifex Mundi S.A.
ASB                  ASB.WA                    ASBISc Enterprises Plc
ASE                  ASE.WA                    Asseco South Eastern Europe S.A.
ASM                  ASM.WA                    ASM Group S.A.
AST                  AST.WA                    Astarta Holding PLC
ATC                  ATC.WA                    Arctic Paper S.A.
ATD                  ATD.WA                    Atende S.A.
ATG                  ATG.WA                    ATM Grupa S.A.
ATP                  ATP.WA                    Atlanta Poland S.A.
ATR                  ATR.WA                    Atrem S.A.
ATS                  ATS.WA                    Atlantis SE
ATT                  ATT.WA                    Grupa Azoty S.A.
AWM                  AWM.WA                    Airway Medix S.A.
B24                  B24.WA                    Brand 24 S.A.
BBD                  BBD.WA                    BBI Development S.A.
BBT                  BBT.WA                    BoomBit S.A.
BCM                  BCM.WA                    Betacom S.A.
BCS                  BCS.WA                    Big Cheese Studio Spolka Akcyjna
BCX                  BCX.WA                    Bioceltix S.A.
BDX                  BDX.WA                    Budimex SA
BFT                  BFT.WA                    Benefit Systems S.A.
BHW                  BHW.WA                    Bank Handlowy w Warszawie S.A.
BIO                  BIO.WA                    BIOTON S.A.
BIP                  BIP.WA                    Bio Planet S.A.
BLO                  BLO.WA                    Bloober Team SA
BMC                  BMC.WA                    Bumech S.A.
BMX                  BMX.WA                    BioMaxima S.A.
BNP                  BNP.WA                    BNP Paribas Bank Polska S.A.
BOS                  BOS.WA                    Bank Ochrony Srodowiska S.A.
BOW                  BOW.WA                    Bowim S.A.
BRS                  BRS.WA                    Boryszew S.A.
BST                  BST.WA                    BEST S.A.
CAP                  CAP.WA                    Capitea S.A.
CAR                  CAR.WA                    Inter Cars S.A.
CAV                  CAV.WA                    Cavatina Holding Spólka Akcyjna
CBF                  CBF.WA                    Cyber_Folks S.A.
CCC                  CCC.WA                    CCC S.A.
CDL                  CDL.WA                    CDRL S.A.
CDR                  CDR.WA                    CD Projekt S.A.
CEZ                  CEZ.WA                    CEZ, a. s.
CFI                  CFI.WA                    CFI Holding S.A.
CIG                  CIG.WA                    CI Games SE
CLC                  CLC.WA                    Columbus Energy S.A.
CLD                  CLD.WA                    Cloud Technologies S.A.
CLE                  CLE.WA                    Coal Energy S.A.
CLN                  CLN.WA                    Celon Pharma S.A.
CMP                  CMP.WA                    Comp S.A.
COG                  COG.WA                    Cognor Holding S.A.
CPA                  CPA.WA                    Capital Partners S.A.
CPD                  CPD.WA                    CPD S.A.
CPI                  CPI.WA                    CPIEUROPE
CPL                  CPL.WA                    Comperia.pl S.A.
CPR                  CPR.WA                    Compremum S.A.
CPS                  CPS.WA                    Cyfrowy Polsat S.A.
CRI                  CRI.WA                    Creotech Instruments S.A.
CRJ                  CRJ.WA                    Creepy Jar S.A.
CRM                  CRM.WA                    PZ Cormay S.A.
CSR                  CSR.WA                    Caspar Asset Management S.A.
CTX                  CTX.WA                    Captor Therapeutics Spolka Akcyjna
CZT                  CZT.WA                    Czerwona Torebka Spólka Akcyjna
DAD                  DAD.WA                    Dadelo S.A.
DAT                  DAT.WA                    DataWalk S.A.
DBC                  DBC.WA                    Tire Company Debica S.A.
DBE                  DBE.WA                    DB Energy S.A.
DCR                  DCR.WA                    Decora S.A.
DEK                  DEK.WA                    Dekpol S.A.
DEL                  DEL.WA                    Delko S.A.
DGA                  DGA.WA                    DGA Spólka Akcyjna
DGE                  DGE.WA                    DRAGO entertainment Spólka Akcyjna
DIA                  DIA.WA                    Diagnostyka S.A.
DIG                  DIG.WA                    Digital Network SA
DMG                  DMG.WA                    Dr. Miele Cosmed Group S.A.
DNP                  DNP.WA                    Dino Polska S.A.
DOM                  DOM.WA                    Dom Development S.A.
DTR                  DTR.WA                    Digitree Group S.A.
DVL                  DVL.WA                    Develia S.A.
EAH                  EAH.WA                    ESOTIQ & Henderson S.A.
EAT                  EAT.WA                    AmRest Holdings SE
ECB                  ECB.WA                    ECB S.A.
ECH                  ECH.WA                    Echo Investment S.A.
EDI                  EDI.WA                    ED Invest Spólka Akcyjna
EFK                  EFK.WA                    Korporacja Gospodarcza efekt S.A.
EHG                  EHG.WA                    Eurohold Bulgaria AD
EKP                  EKP.WA                    Elkop Estonia SE
ELT                  ELT.WA                    Elektrotim S.A.
ENA                  ENA.WA                    ENEA S.A.
ENE                  ENE.WA                    Centrum Medyczne ENEL-MED S.A.
ENG                  ENG.WA                    Energa SA
ENI                  ENI.WA                    Energoinstal S.A.
ENT                  ENT.WA                    Enter Air S.A.
EQU                  EQU.WA                    Equnico SE
ERB                  ERB.WA                    Erbud S.A.
ETL                  ETL.WA                    Eurotel S.A.
EUC                  EUC.WA                    Europejskie Centrum Odszkodowan S.A.
EUR                  EUR.WA                    Eurocash S.A.
FAB                  FAB.WA                    Fabrity S.A.
FEE                  FEE.WA                    Feerum S.A.
FHB                  FHB.WA                    FoodHub Spolka Akcyjna
FON                  FON.WA                    FON SE
FRO                  FRO.WA                    FERRO S.A.
FSG                  FSG.WA                    Fabryki Sprzetu i Narzedzi Górniczych Grupa Kapitalowa FASING S.A.
FTE                  FTE.WA                    Fabryki Mebli FORTE S.A.
GEA                  GEA.WA                    Grenevia S.A.
GIF                  GIF.WA                    Gaming Factory S.A.
GKI                  GKI.WA                    Grupa Kapitalowa IMMOBILE S.A.
GMT                  GMT.WA                    Genomtec S.A.
GOB                  GOB.WA                    Gobarto S.A.
GOP                  GOP.WA                    Games Operators S.A.
GPP                  GPP.WA                    Grupa Pracuj S.A.
GPW                  GPW.WA                    Gielda Papierów Wartosciowych w Warszawie S.A.
GRN                  GRN.WA                    Grodno Spólka Akcyjna
GRX                  GRX.WA                    GreenX Metals Limited
GTC                  GTC.WA                    Globe Trade Centre S.A.
GTN                  GTN.WA                    Getin Holding S.A.
HDR                  HDR.WA                    Przedsiebiorstwo Hydrauliki Silowej HYDROTOR S.A.
HEL                  HEL.WA                    Helio S.A.
HRP                  HRP.WA                    Harper Hygienics S.A.
HRS                  HRS.WA                    Herkules S.A.
HUG                  HUG.WA                    Huuuge, Inc.
IBS                  IBS.WA                    WISE Finance S.A.
ICE                  ICE.WA                    Medinice S.A.
IFI                  IFI.WA                    Ifirma SA
IMC                  IMC.WA                    IMC S.A.
IMP                  IMP.WA                    Imperio Alternatywna Spolka Inwestycyjna S.A.
IMS                  IMS.WA                    IMS S.A.
INC                  INC.WA                    INC S.A.
ING                  ING.WA                    ING Bank Slaski S.A.
INK                  INK.WA                    Instal Kraków S.A.
INL                  INL.WA                    Introl S.A.
INP                  INP.WA                    Inpro S.A.
IPE                  IPE.WA                    IPOPEMA Securities S.A.
IPO                  IPO.WA                    Intersport Polska S.A.
ITB                  ITB.WA                    Interbud-Lublin S.A.
IZB                  IZB.WA                    IZOBLOK S.A.
